Instante	APCP	CAPE	CONVfrac	DLWRF	DSWRF	PEVAP	PRES	SPFH	TMP	UGRD	VGRD
229	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
230	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
231	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
232	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
233	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
234	0.148443	0.148285	0.147966	0.148297	0.147529	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
235	0.148443	0.148285	0.147966	0.148297	0.147529	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
236	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147752	0.148507	0.148548	0.148007	0.148535
237	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147752	0.148507	0.148548	0.148007	0.148535
238	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147752	0.148507	0.148548	0.148007	0.148535
239	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
