Instante	APCP	CAPE	CONV	DLWRF	DSWRF	PEVAP	PRES	SPFH	TMP	UGRD	VGRD
216	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
217	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
218	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
219	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
220	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
221	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
222	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
223	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
224	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
225	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
226	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
227	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
228	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
229	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
230	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
231	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
232	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
233	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
234	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
235	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
236	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
237	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147042	0.147851	0.148147	0.148343	0.147638
238	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
239	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
